applicant_index,approvals,rejects,agreement_pct,approval_rate,instability_score
27922,13,13,0.5,0.5,1.0
13173,13,13,0.5,0.5,1.0
1396,13,13,0.5,0.5,1.0
15777,13,13,0.5,0.5,1.0
14351,13,13,0.5,0.5,1.0
22474,13,13,0.5,0.5,1.0
23581,13,13,0.5,0.5,1.0
1888,13,13,0.5,0.5,1.0
27235,13,13,0.5,0.5,1.0
17541,14,12,0.5384615384615384,0.5384615384615384,0.9230769230769231
