model_name,family,accuracy,sensitive_feature,demographic_parity_difference,equalized_odds_difference,total_unfairness
RandomForest_9,RandomForest,0.8183333333333334,education,0.16075156576200417,0.3991769547325103,0.5599285204945145
RandomForest_10,RandomForest,0.8181666666666667,sex,0.007786599167079508,0.004987194080819601,0.01277379324789911
RandomForest_10,RandomForest,0.8181666666666667,age,0.062408677082162536,0.12231074412153664,0.18471942120369916
RandomForest_10,RandomForest,0.8181666666666667,education,0.12421711899791232,0.345679012345679,0.4698961313435913
RandomForest_11,RandomForest,0.814,sex,0.01628025095858017,0.013100807209705585,0.029381058168285755
RandomForest_11,RandomForest,0.814,age,0.05458300550747443,0.14082397003745317,0.19540697554492759
RandomForest_11,RandomForest,0.814,education,0.17118997912317327,0.411522633744856,0.5827126128680292
RandomForest_12,RandomForest,0.8198333333333333,sex,0.009091073096335403,0.016578922405615648,0.02566999550195105
RandomForest_12,RandomForest,0.8198333333333333,age,0.07942283915926718,0.14307116104868917,0.22249400020795634
RandomForest_12,RandomForest,0.8198333333333333,education,0.15657620041753653,0.3991769547325103,0.5557531551500469
RandomForest_13,RandomForest,0.817,sex,0.01054472888452214,0.006785030983017214,0.017329759867539353
RandomForest_13,RandomForest,0.817,age,0.059359896594357656,0.10595748798503368,0.16531738457939132
RandomForest_13,RandomForest,0.817,education,0.1325678496868476,0.36213991769547327,0.49470776738232086
RandomForest_14,RandomForest,0.8206666666666667,sex,0.012419563223271812,0.009496068823522462,0.021915632046794274
RandomForest_14,RandomForest,0.8206666666666667,age,0.07985837922895359,0.14981273408239704,0.22967111331135062
RandomForest_14,RandomForest,0.8206666666666667,education,0.15866388308977036,0.4074074074074074,0.5660712904971777
RandomForest_15,RandomForest,0.8138333333333333,sex,0.009057767378992693,0.008615537848605581,0.017673305227598274
RandomForest_15,RandomForest,0.8138333333333333,age,0.052812745869394176,0.10079633467873894,0.1536090805481331
RandomForest_15,RandomForest,0.8138333333333333,education,0.11482254697286012,0.31275720164609055,0.42757974861895065
